Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
2/19/13,67.89,68.26,67.86,68.24,23433248,,,,,,,,,,,
2/20/13,68.24,68.25,67.18,67.19,38200240,,,,,,,,,,,
2/21/13,66.96,67.01,66.23,66.47,45855568,,,,,,,,,,,
2/22/13,66.84,67.15,66.59,67.139,21969536,,,,,,,,,,,
2/25/13,67.6,67.81,66.25,66.31,40927520,66.81653333,,,,,,,,,,
2/26/13,66.42,66.68,65.96,66.56,42088736,66.73102222,,,,,,,,,,
2/27/13,66.57,67.65,66.47,67.239,36339456,66.90034815,,,,,,,,,,
2/28/13,67.24,67.74,67.09,67.1,28557152,66.96689877,,,,,,,,,,
3/1/13,66.86,67.5,66.54,67.38,31617696,67.10459918,,,,,,,,,,
3/4/13,67.19,67.69,67.07,67.68,19380448,67.29639945,67.23065455,,,,,,,,,
3/5/13,68.1,68.77,68.08,68.68,35589440,67.75759963,67.4941719,,,,,,,,,
3/6/13,68.8899,68.908,68.42,68.51,29070976,68.00839976,67.67886792,,,,,,,,,
3/7/13,68.57,68.8,68.45,68.69,21775872,68.23559984,67.86271012,,,,,,,,,
3/8/13,68.93,69.02,68.5,68.77,26162112,68.41373322,68.02767191,,,,,,,,,
3/11/13,68.68,68.99,68.47,68.97,23194128,68.59915548,68.19900429,,,,,,55.57592423,,,
3/12/13,68.79,68.9299,68.39,68.72,27579248,68.63943699,68.29373078,,,,,,53.38043748,,,
3/13/13,68.8,68.89,68.39,68.63,34297264,68.63629133,68.35487064,,,,,,52.57522144,,,
3/14/13,68.87,69.01,68.711,68.86,31537680,68.71086088,68.44671234,,,,,,54.46556296,,,
3/15/13,68.75,68.79,68.34,68.51,30743664,68.64390726,68.45821919,,,,,,51.12591313,,,
3/18/13,67.885,68.6367,67.73,68.36,36164496,68.5492715,68.44036116,67.94417143,,,,,49.71886789,,,
3/19/13,68.54,68.7,67.62,68.23,33134576,68.44284767,68.40211367,67.9713932,,,,,48.47375025,,,
